Player_ID,MP,Starts,Min,Min/90,Goals,Shots,SoT,SoT%
1797,19,7,781,8.7,4,3.45,1.49,43.3
1798,15,14,1282,14.2,12,2.89,1.2,41.5
1799,13,10,834,9.3,4,2.26,0.75,33.3
1800,1,0,10,0.1,0,0,0,0
1801,20,14,1116,12.4,4,1.69,0.4,23.8
1802,21,12,1213,13.5,1,0.96,0.3,30.8
1803,7,2,184,2,1,1.5,1,66.7
1804,1,0,20,0.2,0,0,0,0
1805,10,0,116,1.3,0,3.08,0,0
1806,23,23,2070,23,0,0,0,0
1807,19,17,1408,15.6,0,1.41,0.38,27.3
1808,15,11,989,11,5,5.55,2.27,41
1809,19,19,1710,19,0,0.42,0.05,12.5
1810,6,3,385,4.3,0,0.23,0,0
1811,6,6,485,5.4,0,0.37,0,0
1812,1,0,1,0,0,0,0,0
1813,12,12,972,10.8,0,0.46,0.09,20
1814,1,1,90,1,0,0,0,0
1815,18,18,1596,17.7,9,2.26,0.85,37.5
1816,12,11,959,10.7,1,0.93,0.56,60
1817,13,6,584,6.5,1,1.08,0.31,28.6
1818,10,7,560,6.2,0,0.81,0,0
1819,18,18,1592,17.7,0,0,0,0
1820,17,14,1058,11.8,1,1.1,0.17,15.4
1821,7,2,283,3.1,0,2.9,0.65,22.2
1822,6,6,540,6,0,0,0,0
1823,20,8,879,9.8,3,1.53,0.51,33.3
1824,4,2,194,2.2,0,0,0,0
1825,7,5,477,5.3,0,0.19,0,0
1826,14,10,944,10.5,0,0.19,0,0
1827,20,17,1444,16,5,2.25,0.69,30.6
1828,13,9,845,9.4,0,0.53,0.21,40
1829,3,0,65,0.7,0,4.29,1.43,33.3
1830,12,9,869,9.7,0,0.31,0,0
1831,2,0,19,0.2,0,0,0,0
1832,7,4,233,2.6,0,0,0,0
1833,21,15,1375,15.3,2,1.5,0.33,21.7
1834,19,19,1651,18.3,0,0.55,0.11,20
1835,10,7,577,6.4,0,0.47,0.16,33.3
1836,15,5,531,5.9,1,0.34,0.17,50
1837,13,10,747,8.3,2,3.13,1.08,34.6
1838,3,2,236,2.6,0,0,0,0
1839,2,2,172,1.9,0,0,0,0
1840,14,14,1166,13,0,0,0,0
1841,4,4,360,4,0,0,0,0
1842,19,4,610,6.8,1,1.32,0.29,22.2
1843,19,17,1485,16.5,1,1.21,0.18,15
1844,13,13,1170,13,0,0,0,0
1845,11,5,357,4,0,0.75,0,0
1846,20,20,1741,19.3,8,2.59,1.19,46
1847,2,0,15,0.2,0,0,0,0
1848,2,1,118,1.3,0,0.77,0.77,100
1849,12,4,442,4.9,0,0.61,0.2,33.3
1850,22,16,1355,15.1,9,3.44,1.66,48.1
1851,19,19,1710,19,3,0.89,0.32,35.3
1852,18,16,1396,15.5,0,0.32,0,0
1853,15,5,566,6.3,2,2.7,1.27,47.1
1854,16,11,975,10.8,3,1.11,0.37,33.3
1855,1,0,7,0.1,0,0,0,0
1856,18,12,1151,12.8,5,3.59,1.09,30.4
1857,1,0,1,0,0,0,0,0
1858,15,5,521,5.8,0,1.72,0.69,40
1859,17,16,1401,15.6,16,4.42,1.79,40.6
1860,13,3,363,4,0,0.5,0,0
1861,17,17,1423,15.8,0,0.89,0.06,7.1
1862,3,3,258,2.9,0,3.45,0.69,20
1863,18,18,1548,17.2,6,3.02,0.99,32.7
1864,15,2,312,3.5,0,2.57,1.14,44.4
1865,2,0,42,0.5,0,2,2,100
1866,3,0,33,0.4,1,5,2.5,50
1867,15,13,1129,12.5,0,1.84,0.48,26.1
1868,2,0,15,0.2,0,5,0,0
1869,13,9,784,8.7,1,2.41,0.92,38.1
1870,11,9,752,8.4,0,0.6,0.12,20
1871,3,1,94,1,0,0,0,0
1872,8,4,314,3.5,1,2,0.86,42.9
1873,6,1,174,1.9,1,1.05,0.53,50
1874,16,14,1180,13.1,0,0.15,0.08,50
1875,6,4,509,5.7,0,1.05,0.35,33.3
1876,1,0,1,0,0,0,0,0
1877,2,0,9,0.1,0,0,0,0
1878,1,1,90,1,0,0,0,0
1879,9,7,678,7.5,0,0.13,0,0
1880,12,4,400,4.4,1,3.86,0.91,23.5
1881,1,0,6,0.1,0,0,0,0
1882,15,10,835,9.3,1,0.86,0.32,37.5
1883,15,14,1165,12.9,0,0.23,0.16,66.7
1884,1,0,10,0.1,1,10,10,100
1885,19,18,1500,16.7,5,2.57,0.66,25.6
1886,22,22,1955,21.7,3,1.29,0.32,25
1887,16,16,1368,15.2,0,0.26,0.07,25
1888,9,0,119,1.3,0,1.54,0,0
1889,22,21,1877,20.9,0,0.24,0.05,20
1890,11,7,547,6.1,1,1.15,0.49,42.9
1891,8,0,176,2,1,2.5,1,40
1892,4,0,82,0.9,0,0,0,0
1893,1,0,13,0.1,0,10,0,0
1894,15,14,1084,12,2,2.58,0.67,25.8
1895,2,2,159,1.8,0,2.78,0.56,20
1896,6,1,140,1.6,0,2.5,1.25,50
1897,12,1,293,3.3,1,0.61,0.61,100
1898,13,4,523,5.8,0,1.55,0.17,11.1
1899,3,0,52,0.6,0,0,0,0
1900,20,20,1755,19.5,1,0.72,0.26,35.7
1901,20,20,1690,18.8,2,0.74,0.11,14.3
1902,1,0,10,0.1,0,0,0,0
1903,2,0,33,0.4,0,0,0,0
1904,18,18,1539,17.1,2,1.29,0.18,13.6
1905,1,0,11,0.1,0,10,0,0
