Player_ID,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen
91,77.2,1.86,11.8,53.1,13.4,0.23
92,76.2,14.3,44,29.7,2.74,1.22
93,83.8,1.54,13.1,26.9,46.2,16.9
94,52.4,0.75,6.2,23.9,23,4.06
95,81.9,3.38,19.2,52.5,10.8,1.03
96,38,0.79,2.59,22.2,13.4,3.6
97,63.3,4.08,18.8,38.3,6.5,0.51
98,62.3,1.86,15.1,28.4,19.2,1.02
99,47.9,2.46,12.5,24.2,11.2,0.53
100,52.9,1.26,10,19.4,24,2.76
101,38.3,0,11.7,15,11.7,1.67
102,74.1,8.39,36.7,31.1,7.29,1.11
103,70,4,17.4,46.3,6.57,0
104,29,0.85,2.39,12.6,14.4,4.36
105,52.6,0.5,8.02,17.5,28.4,3.47
106,68.9,9.47,34.2,28.4,6.32,0
107,42.6,0.11,3.41,13.2,26.6,2.95
108,30.4,3.48,8.7,13,8.7,3.48
109,79.1,0.44,7.78,48.7,23.1,4.44
110,70,1.11,5.56,42.2,22.2,3.33
111,63,4.2,18,33.2,12.8,0.45
112,50,2.62,10.6,31.1,9.38,0.31
113,66.9,1.64,15.3,40.9,11.1,1.45
114,72.1,4.32,23.4,46.4,2.74,1.26
115,30,0,2,16,14,6
116,15,0,0,0,15,2.5
117,35.8,34.2,35.8,0,0,0
118,42.4,0.9,6.48,19.5,17.4,3.69
119,32.2,0.61,4.74,12.3,16,3.16
120,53.8,1.06,9.29,21.8,23.5,2.35
121,36.3,0.91,2.35,19,15.3,3.41
122,60.7,3.75,14.8,34.1,12.6,0.42
123,40.4,31.6,39.9,0.44,0,0
124,35,0,5,15,15,5
125,54.8,1.1,8.9,27.8,18.4,2.31
126,32.4,0.41,1.76,10.7,20.3,6.89
127,50,3.03,16.1,21.8,12.7,1.52
128,30.7,0.14,2.96,11.5,16.3,3.66
129,68.4,3.21,22,34.6,12.3,0.49
130,38.6,31.6,38.6,0,0,0
131,58.9,0.71,5,25.2,28.9,3.39
132,44.2,2.27,9.09,22.7,12.9,0.91
133,51.4,0,2.86,14.3,35.7,10
134,77,1.52,17.9,44.5,14.8,0.3
135,45.4,0.76,2.81,21,22.1,4.22
136,63.6,3.18,18.2,37.3,9.09,1.82
137,73,2.54,17.9,34.1,22.4,1.69
138,25.8,1.25,3.13,11.3,12.1,3.33
139,40,0,10,20,10,10
140,39,31.8,38.4,0.67,0,0
141,58.3,2.65,17.5,25.4,16.4,0.44
142,56.7,3.33,21.1,16.7,18.9,2.22
143,42.5,3.75,17.5,12.5,12.5,3.75
144,64.2,5.08,24.5,25.1,15.5,0.75
145,50,1.67,8.64,25.4,16.4,1.59
146,38.4,0.78,3.8,14.5,20.2,3.26
147,45.2,5,24.9,20.2,0.25,0.08
148,29.4,1.23,4.2,11.9,14,3.46
149,59.1,3.03,17.3,26.7,16.4,1.52
150,13.3,3.33,3.33,10,0,0
151,43.3,1.93,6.99,20.1,17.3,2.53
152,63.1,8.85,32.5,29.8,0.98,0
153,62.8,2.82,20.6,26.9,16.3,2.18
154,0,0,0,0,0,0
155,36.6,0.57,3.43,18.6,15.4,7.14
156,78.6,5.61,27.8,32.1,19.1,1.23
157,0,0,0,0,0,0
158,40.9,1.71,11,27.4,3.6,0.54
159,52.8,6.8,31,21,1.14,0.34
160,85.6,5.6,39.6,43.6,3.2,0.2
161,67,7,35,31,2,2
162,31.6,29.5,31.6,0.05,0,0
163,99.5,14.3,54.3,44,2,1.25
164,61.1,8.82,25.8,34.8,1.4,0.75
165,45.6,0.96,6.09,19.1,21.1,3.3
166,56.4,2.73,9.09,33.6,14.5,1.82
167,38.5,0.55,3.97,13.5,21.9,3.84
168,55.6,5.38,24.4,27.2,4.36,2.05
169,50,10.7,30,20,0,0
170,70,8.33,16.7,40,13.3,1.67
171,60,1.36,10,36.8,13.6,0.91
172,43.5,0.1,6.29,17.6,20.9,2.57
173,30,0,3.33,13.3,16.7,6.67
174,47.1,0,8.57,21.4,17.1,4.29
175,63,1.85,19.8,30.3,13.5,1.39
176,67.3,3.07,19.2,31.8,16.7,1.56
177,45.8,0.35,7.06,22.6,16.7,2
178,75.5,1.72,16.4,36,24.2,2.24
179,49.7,4.15,18.5,18.2,13.9,1.29
180,82.3,2,9,56.3,18.3,0.33
181,80,2,14,32,34,0
182,65.8,7.14,29.7,32.3,4.03,0.36
183,63.2,2.66,14.2,28.1,21,0.9
184,66.4,1.36,11.8,31.4,23.6,1.82
185,28.6,0.62,2.71,11.2,15,5.88
186,52.3,2.9,16.1,29.4,7.42,0.16
187,59,0.62,4.94,25.3,29.6,4.75
188,31.4,1.21,2.42,12.7,16.4,6.21
189,38.4,0.51,4.36,14.5,20.7,3.85
190,53.4,2.16,11.7,25.6,16.7,1.2
191,43.9,0.48,7.81,21.7,15.5,4
192,48.1,1.46,10.8,24.8,13.1,0.83
193,53.3,0,0,33.3,20,0
194,45.4,0.81,4.5,23.6,17.8,3.15
195,52,1.71,10.9,32.6,8.86,0.57
196,43,0.81,5.68,13.2,25.4,8.38
197,65.3,3.43,22.3,30.5,13.3,0.72
198,57.3,2.16,10.3,35.9,11.1,1.35
199,61.5,1.23,10.1,31.4,21,2.23
200,53.7,0,3.72,17.7,32.6,3.72
201,52.4,0.88,8.97,25,19.1,2.5
202,51.8,2.35,9.41,19.4,24.4,3.24
